id_jugador,nombre_completo
758,Jarrett Allen
759,Damien Wilkins
760,T.J. Leaf
761,Ike Anigbogu
762,Bam Adebayo
763,Matt Williams
764,Jonathan Isaac
765,Ben Simmons
766,Markelle Fultz
767,Sterling Brown
768,D.J. Wilson
769,Jabari Bird
770,Guerschon Yabusele
771,Charles Cooke
772,Jalen Jones
773,Dillon Brooks
774,Ivan Rabb
775,John Collins
776,Josh Magette
777,Tyler Dorsey
778,Dennis Smith Jr.
779,Maxi Kleber
780,Donovan Mitchell
781,Royce O'Neale
782,Brandon Paul
783,Derrick White
784,Caleb Swanigan
785,Zach Collins
786,Josh Jackson
787,Alec Peters
788,Justin Jackson
789,De'Aaron Fox
790,Frank Mason III
791,Lauri Markkanen
792,Ryan Arcidiacono
793,Antonio Blakeney
794,OG Anunoby
795,Alfonzo McKinnie
796,Frank Ntilikina
797,Damyean Dotson
798,Terrance Ferguson
799,Dakari Johnson
800,Miloš Teodosić
801,Sindarius Thornwell
802,Lonzo Ball
803,Kyle Kuzma
804,Alex Caruso
805,Michael Young
806,Wes Iwundu
807,Gian Clavell
808,Josh Hart
809,Khem Birch
810,Ante Žižić
811,Kobi Simmons
812,Mangok Mathiang
813,Marcus Paige
814,Bogdan Bogdanović
815,Tony Bradley
816,Jawun Evans
817,Furkan Korkmaz
818,Matt Costello
819,Jacob Wiley
820,Tyler Cavanaugh
821,Derrick Walton
822,Thomas Bryant
823,C.J. Williams
824,Vince Hunter
825,Daniel Hamilton
826,Jamil Wilson
827,Antonius Cleveland
828,John Holland
829,Jacob Pullen
830,Tyler Lydon
831,London Perrantes
832,Torrey Craig
833,Yakuba Ouattara
834,Malcolm Miller
835,Johnathan Motley
836,Kadeem Allen
837,Monte Morris
838,Jamel Artis
839,Kyle Collinsworth
840,Milton Doyle
841,Naz Mitrou-Long
842,Tyrone Wallace
843,Devin Robinson
844,Davon Reed
845,Reggie Hearn
846,Myke Henry
847,Nigel Hayes
848,Ben Moore
849,James Webb III
850,Josh Gray
851,Emeka Okafor
